"","wb"
"1",3.21016950295281
"2",2.36903655377501
"3",2.7354191402567
"4",2.68909180068013
"5",2.2963630153855
"6",2.37200655104982
"7",3.36013060197896
"8",1.36807184262418
"9",3.28083829800238
"10",2.70999354807553
"11",2.50161333400379
"12",2.50262917378821
"13",3.35376142670782
"14",1.93747948097116
"15",3.78030369602078
"16",2.29162426744401
"17",2.90710751468591
"18",3.85069114304282
"19",2.8044426561233
"20",1.58533806878523
"21",2.14816734844079
"22",3.72754756271525
"23",3.0261860573366
"24",4.30575970816859
"25",2.09299513792404
"26",2.25380129608874
"27",1.70802032618165
"28",3.6064084166485
"29",3.11207806422369
"30",2.78398402824419
"31",3.39675604269486
"32",2.74843921582289
"33",3.80773881945803
"34",1.88118641146275
"35",3.51991600815177
"36",3.66560641227048
"37",3.10084535739523
"38",3.75698768488496
"39",3.05447582011194
"40",2.45450869192702
"41",1.45600504621678
"42",2.68577578919745
"43",3.30225133799606
"44",2.34237510586866
"45",2.86642170096464
"46",2.44988277795574
"47",3.7029116790513
"48",3.8490589323055
"49",2.31086637451995
"50",3.90249337073355
"51",4.25228248967461
"52",4.35502489050599
"53",3.28132459208859
"54",2.87729038519057
"55",3.34268238111761
"56",3.50506706274323
"57",3.75835223724378
"58",3.5959045104038
"59",2.93925892184514
"60",2.72008225174844
"61",2.79690279125384
"62",1.67328839611536
"63",3.02456584297891
"64",2.92249564698558
"65",2.10221888823379
"66",1.95006161617918
"67",1.68620368949626
"68",4.26485796804125
"69",2.44583600612156
"70",2.64755090535966
"71",3.15871208445897
"72",2.38983068773599
"73",2.56162979322769
"74",2.14786302478927
"75",4.05341530613453
"76",2.8251829653158
"77",2.81392228551961
"78",2.43193011054136
"79",2.63426233043544
"80",2.75242700638515
"81",2.27839821608693
"82",3.3323999814859
"83",2.40070350172463
"84",2.44817795761799
"85",2.40473055319297
"86",1.49060463632494
"87",3.19475945160383
"88",2.74936994942406
"89",1.95771096848363
"90",2.1528523422667
"91",1.66268566527352
"92",1.73897340590377
"93",3.26353484807771
"94",2.17199052245908
"95",3.51819289712894
"96",3.0076736030774
"97",3.28950973684975
"98",3.75117991874639
"99",1.80451426938309
"100",3.00830687221793
"101",2.79470841244156
"102",2.60241124221785
"103",3.67524290530468
"104",1.90286649857395
"105",2.61852755029319
"106",3.5209211754493
"107",2.46258834031039
"108",3.13929205938794
"109",3.02443162336001
"110",2.24751999096688
"111",1.66785821656067
"112",2.78334938837758
"113",2.35012724789309
"114",2.90302263176418
"115",2.28732271555533
"116",2.35091015974899
"117",2.48799792465319
"118",3.69840414798613
"119",2.79522532071595
"120",2.74526422171749
"121",2.5599363953733
"122",3.19651660568495
"123",3.24204782021863
"124",2.39238691142452
"125",3.21094945740526
"126",2.15371179477295
"127",2.87967257386084
"128",2.59940003158019
"129",2.22177720432286
"130",2.49150277256202
"131",2.55467908376329
"132",0.549169275630364
"133",2.65259563772641
"134",1.71856945552159
"135",3.01334098186404
"136",2.54982060299233
"137",2.19549254952339
"138",3.10060499067493
"139",2.95742499251228
"140",1.97106614601684
"141",3.44740001029883
"142",3.01629532521246
"143",1.6886573369314
"144",2.94313597740126
"145",3.56239861547286
"146",3.18243699866244
"147",2.18917467377255
"148",3.83800544881619
"149",3.64716732701057
"150",1.97614814643965
"151",3.69822950570692
"152",4.56835318985715
"153",3.77265090374018
"154",2.54561378021312
"155",2.3825795431203
"156",2.00625991382286
"157",2.80809849679154
"158",3.23427929983615
"159",2.9738509696399
"160",2.75975219987489
"161",3.08505458248332
"162",3.19499534280911
"163",2.94716102329991
"164",2.13962465901529
"165",1.41261780389359
"166",3.15968824502117
"167",3.58489919069259
"168",2.08945573914715
"169",3.14997364662074
"170",2.35167438108548
"171",2.15125827723673
"172",2.47978541304178
"173",3.36164622994498
"174",2.87939421967522
"175",3.92289390136436
"176",3.71774101735755
"177",3.13514017225525
"178",2.6383455704701
"179",2.0484896078555
